byte_value,hex,id_in_tiny,id_in_compact,id_in_standard,id_in_full,id_in_reference
0,0x00,32496,65264,130800,261872,373917
1,0x01,32497,65265,130801,261873,373918
2,0x02,32498,65266,130802,261874,373919
3,0x03,32499,65267,130803,261875,373920
4,0x04,32500,65268,130804,261876,373921
5,0x05,32501,65269,130805,261877,373922
6,0x06,32502,65270,130806,261878,373923
7,0x07,32503,65271,130807,261879,373924
8,0x08,32504,65272,130808,261880,373925
9,0x09,32505,65273,130809,261881,373926
10,0x0A,32506,65274,130810,261882,373927
11,0x0B,32507,65275,130811,261883,373928
12,0x0C,32508,65276,130812,261884,373929
13,0x0D,32509,65277,130813,261885,373930
14,0x0E,32510,65278,130814,261886,373931
15,0x0F,32511,65279,130815,261887,373932
16,0x10,32512,65280,130816,261888,373933
17,0x11,32513,65281,130817,261889,373934
18,0x12,32514,65282,130818,261890,373935
19,0x13,32515,65283,130819,261891,373936
20,0x14,32516,65284,130820,261892,373937
21,0x15,32517,65285,130821,261893,373938
22,0x16,32518,65286,130822,261894,373939
23,0x17,32519,65287,130823,261895,373940
24,0x18,32520,65288,130824,261896,373941
25,0x19,32521,65289,130825,261897,373942
26,0x1A,32522,65290,130826,261898,373943
27,0x1B,32523,65291,130827,261899,373944
28,0x1C,32524,65292,130828,261900,373945
29,0x1D,32525,65293,130829,261901,373946
30,0x1E,32526,65294,130830,261902,373947
31,0x1F,32527,65295,130831,261903,373948
32,0x20,32528,65296,130832,261904,373949
33,0x21,32529,65297,130833,261905,373950
34,0x22,32530,65298,130834,261906,373951
35,0x23,32531,65299,130835,261907,373952
36,0x24,32532,65300,130836,261908,373953
37,0x25,32533,65301,130837,261909,373954
38,0x26,32534,65302,130838,261910,373955
39,0x27,32535,65303,130839,261911,373956
40,0x28,32536,65304,130840,261912,373957
41,0x29,32537,65305,130841,261913,373958
42,0x2A,32538,65306,130842,261914,373959
43,0x2B,32539,65307,130843,261915,373960
44,0x2C,32540,65308,130844,261916,373961
45,0x2D,32541,65309,130845,261917,373962
46,0x2E,32542,65310,130846,261918,373963
47,0x2F,32543,65311,130847,261919,373964
48,0x30,32544,65312,130848,261920,373965
49,0x31,32545,65313,130849,261921,373966
50,0x32,32546,65314,130850,261922,373967
51,0x33,32547,65315,130851,261923,373968
52,0x34,32548,65316,130852,261924,373969
53,0x35,32549,65317,130853,261925,373970
54,0x36,32550,65318,130854,261926,373971
55,0x37,32551,65319,130855,261927,373972
56,0x38,32552,65320,130856,261928,373973
57,0x39,32553,65321,130857,261929,373974
58,0x3A,32554,65322,130858,261930,373975
59,0x3B,32555,65323,130859,261931,373976
60,0x3C,32556,65324,130860,261932,373977
61,0x3D,32557,65325,130861,261933,373978
62,0x3E,32558,65326,130862,261934,373979
63,0x3F,32559,65327,130863,261935,373980
64,0x40,32560,65328,130864,261936,373981
65,0x41,32561,65329,130865,261937,373982
66,0x42,32562,65330,130866,261938,373983
67,0x43,32563,65331,130867,261939,373984
68,0x44,32564,65332,130868,261940,373985
69,0x45,32565,65333,130869,261941,373986
70,0x46,32566,65334,130870,261942,373987
71,0x47,32567,65335,130871,261943,373988
72,0x48,32568,65336,130872,261944,373989
73,0x49,32569,65337,130873,261945,373990
74,0x4A,32570,65338,130874,261946,373991
75,0x4B,32571,65339,130875,261947,373992
76,0x4C,32572,65340,130876,261948,373993
77,0x4D,32573,65341,130877,261949,373994
